#{"t_start": 1759866104.3092477, "env_id": "None"}
r,l,t
177.3,516,7.465313
95.7,505,9.722067
127.1,528,15.221433
562.9,1000,21.287543
60.7,340,24.552509
301.8,635,28.597302
538.8,1000,36.21125
198.9,483,40.2644
77.1,457,44.668591
126.7,453,50.021101
219.5,683,61.360317
99.2,360,70.581125
191.1,558,87.35413
-112.0,76,87.974469
403.9,830,99.144037
102.0,300,103.515576
331.2,800,122.717117
219.1,486,136.908235
163.0,673,147.754561
206.2,459,153.005141
387.5,790,163.316903
60.7,300,166.618447
46.0,234,170.15441
19.8,272,171.561977
29.5,269,177.445386
551.1,1000,193.52885
30.4,282,194.62081
532.0,1000,203.314476
473.3,1000,210.046705
643.0,1000,217.372989
9.0,232,219.961974
552.2,935,226.855053
144.9,462,228.714229
690.4,1000,237.750412
260.3,680,246.086768
572.4,1000,255.708603
432.0,1000,268.508805
286.9,612,275.089386
305.6,559,281.271248
-52.0,188,282.508804
131.2,454,295.415667
